stepCount,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteExteriorHorizontalSkyIlluminance,Block1:Zone1_DaylCtrlDaylightingReferencePoint1Illuminance,EMSwarmUpComplete,Block1:Zone1ZoneMeanRadiantTemperature,EMSepTimeStep,Block1:Zone1ZoneAirRelativeHumidity,EnvironmentSiteRainStatus,Block1:Zone1ZoneMeanAirTemperature,Block1:Zone1NumberOfOccupants,Block1:Zone1BlindFraction,Block1:Zone1AverageGains,Block1:Zone1WindowState0,Block1:Zone1LightState
0,-0.50000,0.00000,0.00000,0.00000,9.13412,23.00000,46.20689,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,-2.40000,0.00000,0.00000,1.00000,9.02862,1.00000,45.49429,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,-1.80000,0.00000,0.00000,1.00000,8.99841,2.00000,44.80134,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,-1.40000,0.00000,0.00000,1.00000,8.96977,3.00000,44.30687,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,-1.40000,0.00000,0.00000,1.00000,8.94114,4.00000,43.97967,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,-1.50000,0.00000,0.00000,1.00000,8.91679,5.00000,43.71879,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,-1.70000,0.00000,0.00000,1.00000,8.89707,6.00000,43.47452,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,-1.80000,0.00000,0.00000,1.00000,8.88276,7.00000,43.14509,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,-1.40000,0.00000,0.00000,1.00000,8.87466,8.00000,42.87223,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,-1.00000,1218.39465,0.00000,1.00000,8.88360,9.00000,42.71721,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
